"Scope","REALTIME (usec).[0,0] (I)","REALTIME (usec).[1,0] (I)","REALTIME (usec).[2,0] (I)","REALTIME (usec).[3,0] (I)","REALTIME (usec).[4,0] (I)","REALTIME (usec).[5,0] (I)","REALTIME (usec).[6,0] (I)","REALTIME (usec).[7,0] (I)","Sum"
"Experiment Aggregate Metrics",2.35e+05 100 %,2.30e+05 100 %,1.75e+05 100 %,2.00e+05 100 %,1.67e+05 100 %,2.25e+05 100 %,2.33e+05 100 %,2.23e+05 100 %,1.69e+06
"main",2.35e+05 100 %,2.30e+05 100 %,1.75e+05 100 %,2.00e+05 100 %,1.67e+05 100 %,2.25e+05 100 %,2.33e+05 100 %,2.23e+05 100 %,1.69e+06
"MPI_Finalize",1.59e+05 67.8%,1.46e+05 63.4%,4.23e+04 24.1%,1.02e+05 50.7%,7.23e+04 43.4%,1.28e+05 56.6%,1.21e+05 52.1%,1.23e+05 55.1%,8.93e+05
"PMPI_Waitall",7.59e+04 32.2%,,,,,,,,7.59e+04
"MPI_Init",,,,,,,,,
"__kmpc_fork_call_start",,1.85e+04  8.0%,1.68e+04  9.6%,2.49e+04 12.4%,1.17e+04  7.0%,4.41e+04 19.6%,8.42e+03  3.6%,1.81e+04  8.1%,1.43e+05
"placeHolder",,,1.01e+03  0.6%,,,,,,1.01e+03
"PMPI_Wait",,3.05e+04 13.3%,1.21e+04  6.9%,1.01e+03  0.5%,,,,3.97e+04 17.8%,8.33e+04
"__kmpc_fork_call_end",,3.52e+04 15.3%,8.07e+04 46.0%,5.97e+04 29.8%,8.27e+04 49.6%,5.24e+04 23.3%,1.02e+05 43.8%,4.22e+04 19.0%,4.55e+05
"__kmp_join_call",,,2.23e+04 12.7%,1.31e+04  6.5%,,1.20e+03  0.5%,1.07e+03  0.5%,,3.77e+04
"MPEI_Thread_start",,,,,,,,,
"__kmp_launch_monitor(void*)",,,,,,,,,
"__kmp_launch_worker(void*)",,,,,,,,,
